mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
50.35593628883362,0.39766194284025397,0.5815511544545492,0.010680338472223857,0.6,200,10,4,0.05,"{'subsample': 0.6, 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 4, 'learning_rate': 0.05}",0.8986144862175819,0.8944135807047502,0.8997127051709042,0.897580257364412,0.0022836231471785725,8
13.409354368845621,0.872918750247201,0.23041629791259766,0.03102964465879286,0.6,50,2,4,0.05,"{'subsample': 0.6, 'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 4, 'learning_rate': 0.05}",0.8701214681819593,0.8668328519764831,0.8727262873433811,0.8698935358339411,0.002411377196044602,16
24.823697249094646,0.10833522607032019,0.25933090845743817,0.0245674659691093,1.0,50,2,5,0.05,"{'subsample': 1.0, 'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 5, 'learning_rate': 0.05}",0.879500084107701,0.8759349124429183,0.8819210871694289,0.8791186945733495,0.002458680601022026,13
9.918351570765177,0.19339232329256076,0.19932158788045248,0.03717318252540145,0.6,50,5,3,0.01,"{'subsample': 0.6, 'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 3, 'learning_rate': 0.01}",0.8074429344280514,0.8099015460938308,0.8171411011301705,0.8114951938840176,0.00411650290942026,20
9.649628639221191,0.04170065362278254,0.19499969482421875,0.018726089001812753,0.6,50,10,3,0.1,"{'subsample': 0.6, 'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 3, 'learning_rate': 0.1}",0.8742410599581923,0.8700709522515792,0.8749204678723643,0.873077493360712,0.002143962975292708,14
13.769156455993652,0.31477400790654675,0.23098039627075195,0.031778973189583594,0.6,50,10,4,0.05,"{'subsample': 0.6, 'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 4, 'learning_rate': 0.05}",0.8701217083181505,0.8668268943991994,0.8727190636581624,0.8698892221251707,0.0024110788755951876,17
31.107848405838013,0.6422848053881323,0.3166933059692383,0.010582756579098308,0.6,100,2,5,0.1,"{'subsample': 0.6, 'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 5, 'learning_rate': 0.1}",0.9040899608174394,0.9008809003083402,0.9071507546340082,0.9040405385865959,0.002559895861677509,4
60.36852033933004,0.25635238202517924,0.4520297050476074,0.006357635017263846,0.8,200,2,4,0.1,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 4, 'learning_rate': 0.1}",0.9065455704187235,0.9030790292670001,0.9078780467162559,0.9058342154673266,0.002022731077812572,3
27.981528361638386,0.13413787549863132,0.25719443957010907,0.020339563333445044,1.0,100,10,3,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 3, 'learning_rate': 0.2}",0.8978885729835718,0.8956051284894245,0.9003990476411647,0.8979642497047203,0.0019578407209556556,6
15.8419402440389,0.14950459905125943,0.21924392382303873,0.004192816145678309,0.6,50,5,5,0.05,"{'subsample': 0.6, 'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 5, 'learning_rate': 0.05}",0.8797584475594233,0.8762497219104527,0.8828647018353721,0.8796242904350827,0.002702219884006519,12
55.06807994842529,0.17420955989290313,0.37787771224975586,0.022595524863897744,1.0,200,5,3,0.1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 3, 'learning_rate': 0.1}",0.8978307463415274,0.8938074503263209,0.9002497335134487,0.8972959767270989,0.0026570957919219876,9
13.955050865809122,0.16976815654968633,0.16789046923319498,0.01423513790409529,1.0,50,2,3,0.1,"{'subsample': 1.0, 'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 3, 'learning_rate': 0.1}",0.8703839832189875,0.8707360395537318,0.8736686087664464,0.8715962105130552,0.0014724382966590783,15
19.706257263819378,0.10881683158676579,0.20247483253479004,0.015466492219236138,0.8,50,5,5,0.1,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 5, 'learning_rate': 0.1}",0.8933918380830378,0.8911203566758108,0.8969046684349732,0.8938056210646073,0.0023794926488187144,11
61.125497023264565,0.11587066819295656,0.44535287221272785,0.01938630113534879,0.8,200,5,4,0.05,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'max_depth': 4, 'learning_rate': 0.05}",0.8979203864109035,0.8952892383450807,0.9006427823551493,0.8979508023703779,0.0021856810097966267,7
35.81867798169454,0.22125131182703678,0.3783547878265381,0.00789924291599998,0.6,200,10,3,0.1,"{'subsample': 0.6, 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 3, 'learning_rate': 0.1}",0.9007063264332138,0.8954385287662219,0.9003017680643908,0.898815541087942,0.0023936131731803986,5
46.040715058644615,0.5750317355075841,0.2870367368062337,0.02191030904521554,1.0,100,2,5,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 5, 'learning_rate': 0.2}",0.9099615770087256,0.9060983248160914,0.9117827857438152,0.9092808958562107,0.002370058949090551,2
73.08689864476521,0.1433034955033998,0.4382344086964925,0.020740247906622877,1.0,200,10,4,0.2,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 4, 'learning_rate': 0.2}",0.910988685678563,0.9082797125207566,0.9130092926705996,0.910759230289973,0.00193764796079543,1
75.40101758639018,1.432673379619818,0.45784656206766766,0.021611327824823934,1.0,200,2,4,0.05,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 4, 'learning_rate': 0.05}",0.8965115997371543,0.8948943433367121,0.9001389118362522,0.8971816183033728,0.002192877614140842,10
46.7402769724528,0.290959488519681,0.3668258984883626,0.061396834193999245,0.8,200,10,3,0.01,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 10, 'max_depth': 3, 'learning_rate': 0.01}",0.851425217069032,0.8501476269177788,0.8536190810744491,0.8517306416870866,0.0014335763294295836,18
27.619518995285034,1.2802538159086154,0.2147838274637858,0.026771410078714836,1.0,100,2,3,0.01,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 3, 'learning_rate': 0.01}",0.8328219171341171,0.8320232543915241,0.8359956169781876,0.8336135961679431,0.0017156112417892379,19
